GEOID,County,State,hhincome,pop,medage
72047,Corozal Municipio, Puerto Rico,14752,34933,38.1
72095,Maunabo Municipio, Puerto Rico,17636,11297,43.5
72111,Peñuelas Municipio, Puerto Rico,16868,21661,36.4
72113,Ponce Municipio, Puerto Rico,16561,148863,39.5
72131,San Sebastián Municipio, Puerto Rico,14275,38970,42
72135,Toa Alta Municipio, Puerto Rico,29672,74169,37.1
72137,Toa Baja Municipio, Puerto Rico,24583,81905,38.9
72147,Vieques Municipio, Puerto Rico,16261,8931,41.4
72151,Yabucoa Municipio, Puerto Rico,15586,35025,41.6
72003,Aguada Municipio, Puerto Rico,16199,39470,41
72025,Caguas Municipio, Puerto Rico,24229,134269,39.7
72029,Canóvanas Municipio, Puerto Rico,19986,46779,39
72041,Cidra Municipio, Puerto Rico,20389,41181,38.7
72043,Coamo Municipio, Puerto Rico,19110,39796,39.4
72051,Dorado Municipio, Puerto Rico,29354,37722,39.5
72089,Luquillo Municipio, Puerto Rico,19377,18952,39.8
72019,Barranquitas Municipio, Puerto Rico,15694,29237,35.5
72107,Orocovis Municipio, Puerto Rico,14296,21906,37.9
72129,San Lorenzo Municipio, Puerto Rico,18589,38689,40.2
72011,Añasco Municipio, Puerto Rico,18765,27892,41.3
72037,Ceiba Municipio, Puerto Rico,18998,12238,40.9
72039,Ciales Municipio, Puerto Rico,14432,17325,40.5
72045,Comerío Municipio, Puerto Rico,13523,19914,38.1
72071,Isabela Municipio, Puerto Rico,16333,43314,40.8
72073,Jayuya Municipio, Puerto Rico,15615,15297,36.3
72081,Lares Municipio, Puerto Rico,12820,27321,41.1
72085,Las Piedras Municipio, Puerto Rico,20587,38253,38.1
72119,Río Grande Municipio, Puerto Rico,22584,51768,40.2
72127,San Juan Municipio, Puerto Rico,21677,355181,41.8
72143,Vega Alta Municipio, Puerto Rico,18053,38589,37.8
72145,Vega Baja Municipio, Puerto Rico,18900,54754,40.1
72093,Maricao Municipio, Puerto Rico,13462,6180,42.7
72009,Aibonito Municipio, Puerto Rico,18387,24008,40.7
72059,Guayanilla Municipio, Puerto Rico,14988,19578,40.3
72077,Juncos Municipio, Puerto Rico,18533,39704,37.6
72079,Lajas Municipio, Puerto Rico,13896,23893,43.4
72121,Sabana Grande Municipio, Puerto Rico,15736,23610,40.9
72001,Adjuntas Municipio, Puerto Rico,11680,18525,39.5
72027,Camuy Municipio, Puerto Rico,17579,32936,40.1
