GEOID,NAME,hhincome,B19013_001M,pop,B01003_001M,medage,B01002_001M,White,B02001_002M,Black,B02001_003M,Native,B02001_004M,Asian,B02001_005M
72047,"Corozal Municipio, Puerto Rico",14752,1416,34933,NA,38.1,0.8,28500,1075,2097,663,0,29,0,29
72095,"Maunabo Municipio, Puerto Rico",17636,3292,11297,NA,43.5,1.2,3795,711,7042,751,10,17,0,21
72111,"Peñuelas Municipio, Puerto Rico",16868,1444,21661,NA,36.4,0.6,16967,711,755,259,29,29,35,44
72113,"Ponce Municipio, Puerto Rico",16561,594,148863,NA,39.5,0.3,117164,1961,7493,938,211,119,148,128
72131,"San Sebastián Municipio, Puerto Rico",14275,1197,38970,NA,42,0.7,28075,1095,996,361,0,29,97,89
72135,"Toa Alta Municipio, Puerto Rico",29672,1584,74169,NA,37.1,0.4,57375,1682,5412,848,291,259,296,375
72137,"Toa Baja Municipio, Puerto Rico",24583,1174,81905,NA,38.9,0.4,47902,1865,7712,877,116,102,9,14
72147,"Vieques Municipio, Puerto Rico",16261,2414,8931,NA,41.4,3.8,4812,879,812,442,12,21,162,176
72151,"Yabucoa Municipio, Puerto Rico",15586,1467,35025,NA,41.6,0.8,14950,1268,17751,1373,89,85,11,17
72003,"Aguada Municipio, Puerto Rico",16199,1510,39470,NA,41,0.8,26408,1405,1092,405,0,29,0,29
72025,"Caguas Municipio, Puerto Rico",24229,893,134269,NA,39.7,0.5,102063,2012,11049,1244,320,232,457,271
72029,"Canóvanas Municipio, Puerto Rico",19986,2164,46779,NA,39,0.5,23494,1136,5446,779,0,29,116,100
72041,"Cidra Municipio, Puerto Rico",20389,1458,41181,NA,38.7,0.5,34510,773,3068,567,117,79,72,88
72043,"Coamo Municipio, Puerto Rico",19110,2063,39796,NA,39.4,0.8,26183,1153,8496,1049,0,29,0,29
72051,"Dorado Municipio, Puerto Rico",29354,3033,37722,NA,39.5,0.6,29639,1052,4833,872,0,29,47,57
72089,"Luquillo Municipio, Puerto Rico",19377,2199,18952,NA,39.8,0.5,11385,805,1705,368,24,26,61,64
72019,"Barranquitas Municipio, Puerto Rico",15694,1496,29237,NA,35.5,0.3,25681,923,1264,489,0,25,0,25
72107,"Orocovis Municipio, Puerto Rico",14296,1394,21906,NA,37.9,0.9,18754,593,598,331,0,25,0,25
72129,"San Lorenzo Municipio, Puerto Rico",18589,1151,38689,NA,40.2,0.6,33650,715,2642,520,43,66,22,35
72011,"Añasco Municipio, Puerto Rico",18765,1292,27892,NA,41.3,0.5,17202,1163,845,372,0,25,0,25
72037,"Ceiba Municipio, Puerto Rico",18998,2217,12238,NA,40.9,0.8,7689,683,1135,329,9,14,54,47
72039,"Ciales Municipio, Puerto Rico",14432,1483,17325,NA,40.5,0.7,16644,335,145,102,0,21,0,21
72045,"Comerío Municipio, Puerto Rico",13523,1369,19914,NA,38.1,0.6,15882,720,1633,482,65,69,18,30
72071,"Isabela Municipio, Puerto Rico",16333,1552,43314,NA,40.8,0.5,30785,1133,2155,571,98,114,0,29
72073,"Jayuya Municipio, Puerto Rico",15615,3424,15297,NA,36.3,0.6,12907,764,116,101,47,81,4,9
72081,"Lares Municipio, Puerto Rico",12820,1120,27321,NA,41.1,0.6,19426,832,154,119,12,19,0,25
72085,"Las Piedras Municipio, Puerto Rico",20587,2054,38253,NA,38.1,0.6,18889,1545,18256,1662,0,29,0,29
72119,"Río Grande Municipio, Puerto Rico",22584,1457,51768,NA,40.2,0.5,27326,1457,6878,959,57,67,166,90
72127,"San Juan Municipio, Puerto Rico",21677,572,355181,NA,41.8,0.3,248912,3015,44717,2020,1544,392,1428,426
72143,"Vega Alta Municipio, Puerto Rico",18053,1218,38589,NA,37.8,0.4,30550,1077,4090,840,34,40,103,73
72145,"Vega Baja Municipio, Puerto Rico",18900,1219,54754,NA,40.1,0.5,48319,1021,2431,595,83,100,20,31
72093,"Maricao Municipio, Puerto Rico",13462,2508,6180,261,42.7,1.5,3009,425,160,132,22,35,0,19
72009,"Aibonito Municipio, Puerto Rico",18387,1257,24008,NA,40.7,0.5,19292,625,2000,450,13,21,52,61
72059,"Guayanilla Municipio, Puerto Rico",14988,1354,19578,NA,40.3,0.7,15842,632,416,178,128,148,61,47
72077,"Juncos Municipio, Puerto Rico",18533,1320,39704,NA,37.6,0.5,22814,1183,1850,557,25,35,83,129
72079,"Lajas Municipio, Puerto Rico",13896,1203,23893,NA,43.4,0.8,11455,1124,240,164,43,51,0,25
72121,"Sabana Grande Municipio, Puerto Rico",15736,2051,23610,NA,40.9,0.6,17384,870,704,236,0,25,0,25
72001,"Adjuntas Municipio, Puerto Rico",11680,1168,18525,NA,39.5,0.6,14396,594,120,87,17,20,0,21
72027,"Camuy Municipio, Puerto Rico",17579,1275,32936,NA,40.1,0.5,26089,925,652,268,34,42,0,29
72055,"Guánica Municipio, Puerto Rico",12653,933,17327,NA,41.4,0.7,12204,675,472,184,19,23,0,21
72067,"Hormigueros Municipio, Puerto Rico",19674,1596,16474,NA,45.1,0.1,6122,704,486,195,0,21,43,70
72091,"Manatí Municipio, Puerto Rico",18191,2013,40705,NA,40.9,0.7,34736,877,1574,411,41,45,14,22
72103,"Naguabo Municipio, Puerto Rico",18976,1454,26584,NA,37,0.7,17040,1320,1104,519,0,25,121,91
72105,"Naranjito Municipio, Puerto Rico",18069,1725,29112,NA,38.7,0.9,24364,930,1691,542,11,18,0,25
72125,"San Germán Municipio, Puerto Rico",15036,1446,32937,NA,42.7,0.4,21930,1118,772,306,32,36,0,29
72141,"Utuado Municipio, Puerto Rico",15931,1104,30209,NA,41.7,1.2,21865,861,619,243,50,55,294,179
72013,"Arecibo Municipio, Puerto Rico",17289,802,89550,NA,41.4,0.3,76382,1293,3858,556,341,209,715,268
72015,"Arroyo Municipio, Puerto Rico",15689,2329,18504,NA,38.7,0.8,10730,966,3983,814,0,21,0,21
72033,"Cataño Municipio, Puerto Rico",18663,1413,25595,NA,39.1,0.6,16298,613,2598,399,16,24,110,115
72054,"Florida Municipio, Puerto Rico",16919,3808,12140,NA,38.2,1.1,11056,485,229,254,0,21,26,44
72065,"Hatillo Municipio, Puerto Rico",17770,1471,40978,NA,40.7,0.5,40074,384,258,122,0,29,16,25
72069,"Humacao Municipio, Puerto Rico",18735,1143,54736,NA,41.3,0.6,31444,1678,8483,1115,79,55,409,231
72075,"Juana Díaz Municipio, Puerto Rico",20228,1264,47952,NA,37.5,0.4,21952,1535,4180,733,38,37,107,112
72101,"Morovis Municipio, Puerto Rico",18739,1590,31785,NA,37,0.4,29782,544,420,259,39,62,29,44
72097,"Mayagüez Municipio, Puerto Rico",14642,726,79615,NA,39.9,0.4,29400,1829,3226,609,222,217,34,30
72133,"Santa Isabel Municipio, Puerto Rico",16816,2183,22475,NA,37.2,0.6,12539,891,6295,893,25,41,0,25
72139,"Trujillo Alto Municipio, Puerto Rico",31202,1312,69478,NA,39.3,0.4,56303,1452,6281,1082,85,58,0,32
72115,"Quebradillas Municipio, Puerto Rico",16082,1967,24548,NA,39.3,1,19559,860,1187,548,66,63,27,41
72057,"Guayama Municipio, Puerto Rico",15296,1158,42623,NA,37.5,0.7,31543,1261,5593,973,0,29,95,88
72099,"Moca Municipio, Puerto Rico",13413,1572,37676,NA,38.6,0.9,27169,1191,1232,444,97,153,60,66
72049,"Culebra Municipio, Puerto Rico",23355,3397,1494,261,39.3,8,743,172,74,44,5,8,15,21
72063,"Gurabo Municipio, Puerto Rico",32625,2633,47074,NA,38.3,0.4,30910,1560,6114,1048,43,66,69,80
72123,"Salinas Municipio, Puerto Rico",16246,1471,29239,NA,38.4,1,16612,1015,7888,969,64,76,129,131
72017,"Barceloneta Municipio, Puerto Rico",17113,2116,24583,NA,38.7,0.7,21755,768,720,443,0,25,90,83
72087,"Loíza Municipio, Puerto Rico",17273,1260,27242,NA,37.5,0.5,6424,591,10042,763,38,49,73,75
72153,"Yauco Municipio, Puerto Rico",14451,1371,37585,NA,42.1,0.6,30476,852,1299,438,164,147,5,8
72061,"Guaynabo Municipio, Puerto Rico",34060,1791,90773,NA,42.7,0.3,70941,1636,5198,930,284,162,64,54
72005,"Aguadilla Municipio, Puerto Rico",16821,939,55722,NA,40.6,0.3,39551,1226,2052,425,131,78,580,291
72023,"Cabo Rojo Municipio, Puerto Rico",16461,1092,49726,NA,42.3,0.6,23510,1786,1070,387,157,110,10,16
72053,"Fajardo Municipio, Puerto Rico",18941,1382,33075,NA,40.7,0.5,19135,905,3460,601,28,31,149,95
72083,"Las Marías Municipio, Puerto Rico",14404,2771,8874,NA,40.1,1,5750,476,66,45,0,19,0,19
72109,"Patillas Municipio, Puerto Rico",14512,1317,17769,NA,43.3,0.3,7327,884,9990,891,73,86,0,21
72117,"Rincón Municipio, Puerto Rico",18292,1698,14526,NA,44.6,0.3,9619,765,171,155,0,21,27,39
72149,"Villalba Municipio, Puerto Rico",19893,1935,23659,NA,37.6,0.5,12995,1016,850,288,25,42,10,15
72007,"Aguas Buenas Municipio, Puerto Rico",16733,1797,26855,NA,40.4,1,20003,995,1965,533,157,181,0,25
72021,"Bayamón Municipio, Puerto Rico",25528,752,188614,NA,40.4,0.3,123433,2340,13644,1195,859,301,305,151
72031,"Carolina Municipio, Puerto Rico",29082,821,161684,NA,41.1,0.3,88041,2154,38617,1989,4099,854,591,344
72035,"Cayey Municipio, Puerto Rico",20442,1398,45431,NA,41,0.6,33610,1217,2218,503,68,94,50,57
01099,"Monroe County, Alabama",26036,3726,21745,NA,41.7,0.5,11973,114,9029,221,274,69,116,21
01079,"Lawrence County, Alabama",43779,3181,33288,NA,42,0.5,25978,204,3801,139,1730,368,18,23
01081,"Lee County, Alabama",47564,1712,156597,NA,31,0.2,109481,767,36139,396,166,98,6000,202
01093,"Marion County, Alabama",35719,2063,30058,NA,44.1,0.4,28032,235,1003,152,128,53,96,70
01107,"Pickens County, Alabama",36220,2410,20170,NA,42.1,0.6,11305,126,8189,134,22,31,13,23
01119,"Sumter County, Alabama",21663,1677,13084,NA,35.9,0.7,3235,23,9268,279,68,91,392,254
01073,"Jefferson County, Alabama",49321,913,659460,NA,37.6,0.2,343449,1194,280804,983,1550,317,10187,461
01023,"Choctaw County, Alabama",32122,2797,13188,NA,45.8,0.4,7456,46,5583,118,4,5,8,11
01059,"Franklin County, Alabama",39501,2912,31507,NA,37.7,0.9,27055,639,1528,223,291,231,117,4
01091,"Marengo County, Alabama",32255,3045,19743,NA,42.1,1.2,8954,55,10689,109,11,19,0,18
01113,"Russell County, Alabama",38988,2253,58480,NA,35.3,0.2,29568,816,24946,437,213,66,424,156
01019,"Cherokee County, Alabama",40041,2316,25855,NA,46.1,0.4,24072,83,1287,56,125,62,50,43
01039,"Covington County, Alabama",39467,2392,37519,NA,43.4,0.5,31758,84,4937,78,124,68,158,46
